EmpID,Age,JobLevel,Dept,WorkEnv,PhysicalActivityHours,Stress,SleepHours,CommuteMode,CommuteDistance,JobSatisfaction
1210,36.0,,Marketing,1,1.9,1.0,7.4,,25.0,2.0
352,23.0,Intern/Fresher,Sales,2,0.2,2.0,5.4,Motorbike,19.0,4.0
1366,35.0,Mid,Marketing,2,2.0,2.0,7.0,Public Transport,18.0,2.0
1709,43.0,Senior,IT,5,2.0,1.0,7.7,Car,5.0,4.0
2965,33.0,Senior,Marketing,4,2.1,2.0,8.4,Public Transport,29.0,5.0
1775,58.0,Senior,Sales,4,0.0,1.0,6.7,Car,28.0,4.0
2974,48.0,Senior,Legal,5,1.9,1.0,6.3,Walk,1.0,4.0
1909,47.0,Lead,Finance,3,1.7,1.0,7.4,Car,16.0,5.0
2969,24.0,,,2,4.4,1.0,6.2,,26.0,5.0
1394,42.0,Lead,IT,5,0.9,1.0,6.7,Car,29.0,1.0
528,33.0,Mid,IT,5,1.8,1.0,6.5,Walk,2.0,4.0
1269,51.0,Lead,IT,5,3.8,3.0,6.3,Car,29.0,1.0
33,23.0,Intern/Fresher,Marketing,4,2.1,4.0,6.5,Motorbike,17.0,5.0
2039,28.0,Mid,Legal,2,3.1,1.0,6.9,Public Transport,10.0,4.0
2954,29.0,Junior,IT,3,1.5,1.0,5.2,Public Transport,17.0,5.0
1744,24.0,Mid,IT,1,3.5,3.0,6.7,Car,22.0,1.0
1066,41.0,Mid,Customer Service,4,1.7,1.0,6.7,Walk,1.0,3.0
2178,40.0,Senior,Sales,4,2.3,3.0,7.4,Car,5.0,4.0
847,39.0,Mid,Finance,4,2.0,1.0,6.9,Car,5.0,3.0
1933,60.0,Lead,IT,3,0.0,2.0,8.6,Public Transport,20.0,4.0
1907,40.0,Senior,IT,2,1.7,1.0,8.3,Motorbike,14.0,4.0
1954,23.0,Intern/Fresher,Finance,3,2.8,1.0,8.1,Public Transport,10.0,4.0
2649,28.0,Junior,IT,5,0.2,4.0,7.6,Public Transport,10.0,4.0
1225,51.0,Lead,Finance,4,3.1,1.0,7.4,Car,25.0,2.0
106,30.0,Senior,Operations,5,1.9,1.0,6.5,Car,5.0,5.0
1716,33.0,Mid,Finance,4,0.0,2.0,6.2,Car,26.0,1.0
1136,29.0,Junior,Marketing,1,1.7,1.0,5.0,Public Transport,26.0,1.0
2744,37.0,Mid,Finance,2,2.5,1.0,7.5,Car,7.0,4.0
312,31.0,Senior,Sales,3,0.0,1.0,6.8,Public Transport,7.0,2.0
2104,29.0,Junior,Operations,5,1.2,4.0,6.4,Walk,2.0,4.0
2135,44.0,Senior,IT,2,3.1,1.0,8.2,Motorbike,19.0,4.0
1541,24.0,Junior,IT,1,1.9,2.0,5.8,Bike,10.0,1.0
2306,26.0,Junior,Finance,4,2.5,1.0,7.3,Public Transport,16.0,4.0
1531,36.0,Senior,Finance,3,1.6,2.0,9.1,Walk,1.0,4.0
1471,60.0,Lead,IT,3,1.4,2.0,6.2,Car,25.0,4.0
1038,33.0,Senior,IT,3,4.0,1.0,6.9,Car,16.0,1.0
2334,60.0,Senior,Operations,5,2.1,1.0,6.9,Car,10.0,4.0
2684,36.0,Mid,Finance,3,0.7,1.0,8.6,Car,14.0,4.0
1438,28.0,Mid,Sales,2,1.3,4.0,7.0,Public Transport,11.0,2.0
645,53.0,Lead,IT,4,0.7,2.0,6.8,Car,19.0,3.0
1241,24.0,Senior,IT,5,2.0,2.0,6.5,Bike,2.0,2.0
1063,33.0,,,5,,2.0,,,,3.0
876,28.0,Junior,Legal,2,2.9,5.0,4.3,Bike,6.0,1.0
2687,57.0,Lead,IT,3,1.8,1.0,7.7,Car,12.0,4.0
760,22.0,Intern/Fresher,IT,4,2.6,1.0,7.3,Car,16.0,3.0
2455,36.0,Senior,Operations,3,4.9,2.0,7.3,Public Transport,7.0,4.0
2740,58.0,Senior,Sales,4,3.4,3.0,6.4,Car,13.0,4.0
1920,40.0,Senior,Marketing,3,2.7,2.0,6.0,Car,14.0,4.0
1431,51.0,Lead,Operations,3,1.3,1.0,6.6,Public Transport,13.0,1.0
978,38.0,Senior,Sales,2,1.4,4.0,5.4,Public Transport,17.0,1.0
2696,34.0,Mid,Finance,1,1.4,1.0,5.0,Public Transport,28.0,3.0
1322,41.0,Mid,Sales,2,4.0,1.0,6.1,Car,19.0,1.0
697,32.0,Senior,Operations,1,1.2,1.0,8.1,Bike,10.0,3.0
2797,59.0,Lead,Operations,4,2.7,2.0,5.4,Car,6.0,3.0
1020,29.0,Mid,Finance,5,4.4,2.0,5.5,Car,21.0,3.0
947,23.0,Intern/Fresher,Marketing,1,1.9,1.0,6.0,Bike,4.0,3.0
1647,42.0,Mid,Finance,1,3.2,1.0,5.3,Public Transport,17.0,1.0
2406,36.0,Senior,Sales,1,1.7,1.0,6.5,Car,16.0,3.0
837,26.0,Junior,IT,5,2.4,1.0,5.1,Car,9.0,3.0
1557,37.0,Mid,Operations,2,1.4,2.0,8.3,Car,22.0,4.0
927,26.0,Junior,Finance,1,1.7,1.0,7.9,Public Transport,19.0,3.0
214,24.0,Junior,IT,2,1.8,2.0,8.0,Bike,2.0,4.0
2228,26.0,Junior,Finance,3,3.3,1.0,8.0,Bike,9.0,5.0
1452,25.0,Junior,IT,5,0.0,2.0,9.8,Walk,1.0,2.0
718,40.0,Mid,Operations,2,1.0,3.0,7.4,Car,18.0,3.0
455,,,,5,,1.0,,,,
2828,57.0,Senior,Operations,3,1.0,1.0,6.7,Motorbike,3.0,3.0
329,23.0,Intern/Fresher,IT,4,0.4,2.0,6.8,Public Transport,20.0,2.0
1099,28.0,,Sales,4,1.0,2.0,6.9,,19.0,2.0
2381,34.0,Mid,Sales,2,1.8,2.0,7.5,Car,18.0,4.0
1453,49.0,,IT,3,1.6,1.0,7.2,,7.0,2.0
314,60.0,Senior,Operations,2,2.1,1.0,7.0,Walk,1.0,2.0
1914,28.0,Junior,HR,4,2.6,1.0,7.6,Public Transport,8.0,4.0
2424,44.0,Senior,IT,1,1.1,3.0,7.6,Public Transport,13.0,3.0
1691,43.0,Senior,Operations,2,3.9,1.0,7.1,Motorbike,3.0,4.0
2230,30.0,Senior,Customer Service,2,1.8,3.0,6.8,Public Transport,16.0,4.0
1849,59.0,Senior,Marketing,5,2.7,1.0,6.2,Public Transport,7.0,5.0
1061,29.0,Junior,Operations,3,1.5,3.0,5.8,Walk,1.0,1.0
1430,60.0,Lead,Finance,3,3.1,1.0,6.8,Public Transport,14.0,2.0
2016,38.0,Mid,Finance,1,2.4,1.0,6.2,Walk,1.0,1.0
891,33.0,Senior,Operations,2,0.7,2.0,7.7,Public Transport,13.0,3.0
2211,30.0,Senior,Operations,5,1.2,2.0,8.5,Car,17.0,4.0
1668,28.0,Mid,Legal,5,0.9,1.0,6.0,Motorbike,22.0,5.0
615,29.0,Mid,Finance,4,1.8,1.0,8.5,Walk,1.0,5.0
482,26.0,,,1,2.4,1.0,6.5,,19.0,4.0
1133,24.0,Junior,IT,5,3.3,1.0,6.6,Bike,7.0,1.0
1400,22.0,,,4,1.7,1.0,,,,2.0
176,37.0,Mid,Operations,2,1.3,1.0,7.4,Car,6.0,5.0
1794,48.0,Mid,Operations,1,1.9,3.0,6.5,Walk,2.0,1.0
2991,39.0,Mid,Operations,2,1.5,3.0,7.7,Car,28.0,4.0
2980,46.0,Senior,Sales,5,3.1,1.0,7.5,Car,7.0,5.0
1086,45.0,Senior,IT,3,3.2,1.0,7.1,Bike,9.0,2.0
622,34.0,,,2,2.0,1.0,6.6,,7.0,4.0
2878,36.0,Senior,Operations,4,0.6,1.0,8.9,Public Transport,9.0,5.0
240,34.0,Senior,Legal,5,2.7,4.0,7.2,Car,21.0,4.0
1915,57.0,Lead,IT,2,0.5,1.0,7.9,Car,28.0,1.0
495,45.0,Mid,Operations,4,2.0,1.0,6.1,Public Transport,9.0,4.0
124,33.0,Senior,Marketing,5,3.0,1.0,7.7,Car,20.0,5.0
1924,23.0,Junior,IT,5,0.5,1.0,6.1,Bike,7.0,4.0
736,54.0,Senior,Finance,4,2.9,1.0,6.7,Walk,1.0,3.0
1195,56.0,Senior,Operations,3,0.0,1.0,7.0,Motorbike,17.0,2.0
1258,40.0,Senior,HR,3,3.0,3.0,8.0,Walk,2.0,2.0
2018,51.0,Lead,HR,3,2.4,1.0,6.9,Car,24.0,4.0
706,29.0,,Customer Service,2,2.4,5.0,6.0,Public Transport,13.0,1.0
2620,22.0,,Finance,2,2.3,3.0,8.2,,23.0,4.0
2838,32.0,Senior,IT,2,2.1,3.0,7.5,Public Transport,21.0,3.0
312,31.0,Senior,Sales,3,0.0,1.0,6.8,Public Transport,7.0,2.0
2659,48.0,Mid,Operations,2,0.0,3.0,6.2,Public Transport,23.0,3.0
1824,31.0,Senior,Operations,2,1.3,1.0,6.6,Car,28.0,1.0
1197,52.0,Senior,Finance,5,3.8,2.0,6.9,Car,7.0,2.0
699,53.0,Senior,IT,1,2.5,1.0,8.0,Public Transport,8.0,3.0
2634,36.0,,,1,2.6,3.0,,,,3.0
926,32.0,Senior,Operations,4,3.2,1.0,6.3,Public Transport,6.0,5.0
1672,46.0,Senior,Marketing,2,2.4,1.0,8.0,Car,22.0,4.0
2754,43.0,Senior,Operations,3,3.2,3.0,6.4,Public Transport,13.0,4.0
2519,38.0,Senior,Finance,5,1.0,1.0,7.2,Bike,9.0,3.0
1635,24.0,Junior,Legal,1,1.8,3.0,8.7,Car,13.0,1.0
1462,32.0,,,4,,3.0,,,,
2850,38.0,Senior,IT,1,1.6,1.0,6.7,Car,20.0,5.0
1859,37.0,Senior,IT,5,1.6,2.0,7.6,Public Transport,12.0,4.0
273,29.0,Junior,Finance,3,2.6,3.0,7.6,Walk,1.0,2.0
2982,28.0,Junior,Marketing,5,0.0,1.0,6.3,Car,8.0,5.0
449,46.0,Lead,Marketing,4,0.0,2.0,7.7,Public Transport,8.0,4.0
402,54.0,Lead,IT,2,1.2,1.0,6.8,Public Transport,18.0,3.0
446,25.0,Junior,IT,2,1.1,2.0,6.7,Car,13.0,3.0
172,31.0,Mid,Finance,1,1.6,1.0,5.7,Public Transport,26.0,5.0
44,24.0,Junior,IT,3,1.8,2.0,5.7,Car,29.0,5.0
1900,28.0,Senior,Operations,3,2.3,1.0,5.8,Walk,2.0,1.0
1327,26.0,Junior,Sales,5,2.1,1.0,6.2,Car,10.0,2.0
147,29.0,Mid,Finance,5,2.7,2.0,8.1,Public Transport,25.0,5.0
473,34.0,Senior,Sales,3,2.1,1.0,4.8,Car,7.0,4.0
403,37.0,Mid,IT,5,0.6,2.0,7.1,Walk,1.0,4.0
1618,22.0,,,3,2.4,1.0,6.7,,1.0,4.0
2217,29.0,,,4,3.5,1.0,9.5,,2.0,5.0
188,29.0,Senior,Operations,4,1.3,3.0,8.3,Car,28.0,5.0
6,32.0,Mid,IT,1,2.5,1.0,7.6,Car,20.0,5.0
2272,36.0,Mid,IT,1,3.3,1.0,7.4,Walk,2.0,3.0
1508,28.0,Junior,IT,3,2.1,1.0,6.7,Public Transport,19.0,4.0
2058,24.0,Mid,Operations,2,3.4,1.0,8.3,Motorbike,12.0,4.0
660,43.0,,Operations,5,2.9,3.0,6.9,Public Transport,29.0,4.0
1520,30.0,,Finance,3,1.7,1.0,6.4,,7.0,1.0
2904,49.0,Senior,Sales,1,2.5,2.0,7.7,Public Transport,9.0,5.0
825,49.0,Mid,Marketing,3,1.5,1.0,6.8,Public Transport,19.0,3.0
2079,31.0,Senior,HR,5,1.1,2.0,7.5,Motorbike,14.0,5.0
2136,57.0,Lead,Operations,3,2.3,1.0,6.7,Public Transport,15.0,4.0
1280,40.0,Senior,Operations,1,1.8,4.0,6.8,Public Transport,29.0,1.0
567,48.0,Mid,Finance,5,2.0,1.0,6.1,Car,27.0,4.0
506,35.0,Senior,Finance,1,1.9,3.0,5.5,Car,24.0,3.0
2432,41.0,Senior,IT,3,2.2,1.0,7.6,Car,13.0,4.0
190,36.0,Senior,IT,1,3.2,2.0,6.9,Car,5.0,5.0
1696,25.0,Junior,Operations,2,1.9,2.0,7.4,Car,26.0,4.0
1368,30.0,Senior,Operations,5,0.3,2.0,5.7,Bike,10.0,2.0
2040,35.0,Mid,IT,3,2.0,1.0,7.6,Car,27.0,4.0
889,30.0,Senior,Customer Service,4,1.2,2.0,6.9,Car,29.0,3.0
269,47.0,Mid,Finance,3,3.0,2.0,6.9,Public Transport,24.0,4.0
2578,23.0,Junior,Finance,2,2.8,1.0,5.2,Public Transport,22.0,3.0
2330,36.0,Senior,Operations,3,1.9,1.0,5.8,Public Transport,11.0,3.0
2133,37.0,Senior,Finance,2,2.7,2.0,6.3,Bike,7.0,1.0
1371,25.0,Junior,Marketing,5,0.9,1.0,7.5,Car,15.0,5.0
1439,35.0,Senior,IT,4,3.0,1.0,6.4,Public Transport,21.0,1.0
2946,44.0,,Finance,3,1.1,1.0,8.0,,2.0,5.0
1573,25.0,,Finance,1,4.1,4.0,6.7,,23.0,1.0
2253,30.0,Senior,Operations,3,2.1,2.0,7.3,Walk,2.0,3.0
2103,37.0,Senior,Legal,3,1.1,4.0,7.5,Bike,7.0,4.0
1846,25.0,Senior,Operations,3,2.5,1.0,7.3,Public Transport,23.0,4.0
2583,29.0,Mid,Operations,2,3.4,2.0,6.8,Public Transport,29.0,3.0
1640,44.0,Lead,Marketing,1,1.8,2.0,5.7,Car,8.0,1.0
1680,39.0,Mid,Finance,1,1.8,2.0,6.4,Walk,2.0,4.0
696,24.0,Junior,Finance,5,2.8,3.0,8.2,Bike,10.0,3.0
2117,49.0,Senior,IT,3,1.6,1.0,6.5,Car,18.0,5.0
1528,54.0,Lead,IT,5,2.2,1.0,8.5,Bike,4.0,4.0
325,38.0,Mid,Legal,5,4.1,2.0,7.3,Bike,7.0,4.0
1370,54.0,Lead,Customer Service,2,3.4,1.0,5.7,Car,25.0,1.0
935,39.0,Senior,Operations,4,3.2,1.0,6.7,Bike,9.0,3.0
1107,27.0,Junior,Customer Service,2,3.0,2.0,9.1,Motorbike,4.0,2.0
2715,23.0,Intern/Fresher,IT,2,0.0,1.0,5.7,Car,22.0,3.0
1989,22.0,Intern/Fresher,Finance,5,1.5,1.0,6.4,Walk,2.0,4.0
2124,53.0,Senior,Legal,4,1.7,1.0,7.4,Public Transport,29.0,4.0
1858,42.0,Mid,Sales,4,1.5,1.0,7.0,Bike,1.0,4.0
36,40.0,Lead,Customer Service,3,2.3,1.0,5.1,Car,12.0,4.0
2347,25.0,Junior,Finance,2,1.9,1.0,8.1,Public Transport,27.0,4.0
275,26.0,,,5,3.2,1.0,,,,4.0
1001,31.0,,,2,2.4,3.0,6.7,,21.0,3.0
1204,49.0,Mid,Finance,1,1.4,1.0,6.9,Public Transport,5.0,2.0
1416,51.0,Lead,Operations,1,3.0,2.0,7.4,Car,20.0,1.0
1170,29.0,Junior,Customer Service,2,2.7,1.0,6.5,Car,11.0,1.0
2274,43.0,,,3,0.9,4.0,4.8,,19.0,3.0
1545,31.0,Senior,IT,3,1.5,4.0,5.2,Public Transport,6.0,1.0
8,58.0,Lead,Customer Service,3,3.7,3.0,6.7,Public Transport,25.0,4.0
435,32.0,Mid,Finance,5,1.7,1.0,8.6,Public Transport,15.0,4.0
2361,38.0,Mid,Sales,3,0.3,3.0,7.5,Car,14.0,3.0
2413,26.0,Junior,Finance,3,2.6,3.0,7.5,Car,9.0,4.0
369,54.0,Lead,IT,2,1.2,2.0,6.7,Car,6.0,3.0
1333,24.0,Junior,Finance,4,3.5,1.0,7.4,Car,26.0,2.0
1877,23.0,Junior,Legal,2,3.5,2.0,6.7,Public Transport,10.0,4.0
142,24.0,Junior,Finance,5,2.5,3.0,7.2,Car,6.0,5.0
2233,31.0,Senior,HR,1,0.6,1.0,6.3,Car,16.0,3.0
1949,54.0,Lead,Finance,5,4.2,1.0,7.5,Car,11.0,4.0
2848,35.0,,HR,2,3.6,2.0,6.5,,5.0,5.0
1722,26.0,Junior,Operations,4,2.2,1.0,6.9,Public Transport,16.0,4.0
2970,40.0,Senior,IT,1,3.1,1.0,8.1,Motorbike,19.0,5.0
2380,22.0,Intern/Fresher,Marketing,3,2.1,1.0,7.5,Car,19.0,4.0
548,31.0,Senior,Marketing,3,0.4,1.0,6.8,Public Transport,17.0,5.0
2046,35.0,Senior,IT,3,0.9,1.0,7.6,Car,20.0,4.0
388,22.0,Intern/Fresher,IT,3,3.4,1.0,5.7,Motorbike,10.0,3.0
1567,45.0,Senior,Legal,1,2.9,1.0,7.4,Walk,2.0,4.0
2327,53.0,Lead,IT,1,3.1,2.0,6.9,Car,28.0,3.0
159,53.0,Lead,Customer Service,4,1.6,3.0,7.3,Motorbike,13.0,5.0
2638,37.0,Senior,Operations,5,0.2,1.0,7.5,Public Transport,15.0,4.0
2324,34.0,Senior,Finance,5,2.0,3.0,7.5,Car,26.0,4.0
1556,39.0,Senior,Sales,1,1.4,4.0,7.8,Motorbike,3.0,4.0
834,23.0,Junior,Legal,4,0.3,1.0,7.3,Motorbike,15.0,3.0
2945,42.0,Mid,Operations,5,3.3,1.0,8.6,Public Transport,18.0,4.0
423,28.0,Mid,Finance,2,2.4,3.0,6.4,Motorbike,20.0,4.0
2648,22.0,Junior,Marketing,1,3.8,1.0,7.4,Car,8.0,4.0
627,47.0,Senior,Operations,4,1.3,1.0,6.1,Car,13.0,4.0
2999,30.0,Mid,Operations,5,1.5,1.0,7.3,Car,26.0,4.0
762,31.0,Senior,Customer Service,3,1.3,1.0,8.2,Public Transport,13.0,3.0
2948,33.0,Senior,Legal,4,0.9,1.0,6.4,Motorbike,4.0,4.0
1702,41.0,Lead,IT,3,2.0,1.0,6.8,Public Transport,13.0,4.0
2474,22.0,Intern/Fresher,Operations,5,1.8,1.0,6.3,Public Transport,15.0,4.0
1867,23.0,Intern/Fresher,IT,4,2.6,1.0,8.4,Car,17.0,1.0
1974,30.0,Senior,Finance,3,2.1,2.0,7.1,Car,6.0,4.0
2221,34.0,Senior,IT,1,1.6,1.0,6.8,Motorbike,17.0,3.0
393,24.0,Junior,Customer Service,2,1.8,1.0,7.6,Bike,1.0,4.0
1174,40.0,Lead,Legal,1,2.5,4.0,7.7,Car,19.0,1.0
1361,35.0,Senior,Finance,1,3.6,2.0,7.9,Car,16.0,1.0
2308,34.0,Mid,IT,1,1.7,1.0,5.8,Car,28.0,4.0
507,60.0,Lead,Operations,4,1.7,4.0,7.8,Bike,4.0,3.0
1686,53.0,Lead,IT,3,3.1,1.0,8.2,Bike,6.0,4.0
1944,22.0,Intern/Fresher,IT,4,2.3,1.0,7.1,Walk,1.0,4.0
16,39.0,Senior,Marketing,2,2.2,3.0,7.5,Public Transport,29.0,4.0
2984,37.0,,HR,2,1.5,3.0,5.1,Walk,1.0,5.0
490,51.0,Lead,Marketing,5,0.8,1.0,6.5,Bike,2.0,4.0
1397,29.0,Mid,Marketing,1,2.5,2.0,7.5,Car,28.0,2.0
2618,24.0,,Sales,4,2.9,1.0,7.0,Bike,9.0,4.0
2929,36.0,Mid,Finance,1,2.7,5.0,6.8,Car,17.0,3.0
920,24.0,Junior,Finance,5,4.6,3.0,8.0,Public Transport,6.0,5.0
1065,26.0,Senior,Sales,4,3.4,1.0,6.7,Car,16.0,3.0
154,59.0,Lead,IT,5,1.3,1.0,6.8,Car,15.0,5.0
1823,36.0,Mid,IT,2,2.2,2.0,7.9,Public Transport,9.0,4.0
1240,29.0,Mid,Customer Service,3,2.0,1.0,5.9,Motorbike,4.0,1.0
1112,39.0,Senior,Operations,4,1.1,1.0,6.6,Motorbike,11.0,2.0
1914,28.0,Junior,HR,4,2.6,1.0,7.6,Public Transport,8.0,4.0
2309,39.0,Senior,Operations,1,1.8,1.0,7.8,Public Transport,10.0,4.0
2061,28.0,Mid,Marketing,2,0.5,1.0,7.8,Car,26.0,4.0
38,33.0,Mid,Operations,5,2.7,1.0,6.9,Public Transport,29.0,4.0
2153,43.0,Lead,Operations,4,1.6,1.0,7.6,Public Transport,25.0,4.0
1817,30.0,Senior,IT,1,1.2,1.0,9.6,Car,10.0,1.0
1795,35.0,Mid,Marketing,1,3.7,3.0,5.6,Walk,1.0,1.0
1272,34.0,Mid,Sales,3,1.6,1.0,8.1,Bike,1.0,2.0
2202,51.0,Senior,Finance,3,1.5,4.0,7.2,Car,10.0,4.0
2762,31.0,Senior,Sales,2,2.2,1.0,6.5,Public Transport,17.0,4.0
2329,22.0,Junior,HR,2,0.8,1.0,5.4,Public Transport,17.0,4.0
2525,48.0,Senior,HR,3,2.5,1.0,8.7,Public Transport,19.0,4.0
1089,56.0,Lead,Sales,3,3.2,3.0,5.2,Car,10.0,1.0
2171,26.0,Junior,Operations,2,1.0,1.0,8.8,Car,29.0,1.0
546,30.0,Mid,Operations,5,2.6,1.0,5.4,Car,14.0,4.0
1008,32.0,Mid,Sales,3,0.2,1.0,6.9,Public Transport,19.0,3.0
1707,23.0,Junior,HR,4,2.4,1.0,7.7,Public Transport,18.0,4.0
21,26.0,Junior,Sales,2,1.8,1.0,5.8,Car,29.0,5.0
3022,23.0,Junior,Finance,1,1.5,3.0,9.5,Public Transport,23.0,1.0
1277,29.0,Junior,Legal,4,1.7,1.0,7.4,Public Transport,13.0,5.0
226,37.0,Mid,IT,1,4.2,2.0,6.6,Car,13.0,5.0
1561,35.0,Senior,Marketing,5,2.0,1.0,7.2,Car,14.0,5.0
2666,37.0,Senior,Finance,3,1.3,1.0,7.6,Public Transport,28.0,4.0
2294,51.0,Lead,Finance,2,0.6,1.0,6.6,Public Transport,28.0,4.0
871,36.0,Mid,Operations,1,1.6,1.0,7.7,Motorbike,10.0,1.0
894,36.0,Mid,IT,2,2.4,1.0,7.7,Public Transport,14.0,3.0
2398,58.0,Lead,Legal,2,3.4,3.0,6.6,Motorbike,17.0,4.0
1453,49.0,Mid,IT,3,1.6,1.0,7.2,Bike,7.0,2.0
319,36.0,Senior,Finance,1,2.0,3.0,4.7,Public Transport,7.0,2.0
712,24.0,Junior,Marketing,3,1.6,1.0,7.8,Walk,2.0,1.0
1000,44.0,Senior,Finance,3,1.0,1.0,5.9,Car,13.0,3.0
2956,24.0,Junior,Sales,2,2.4,3.0,6.8,Motorbike,24.0,3.0
2304,26.0,Junior,Finance,1,2.6,1.0,6.0,Walk,1.0,3.0
1891,47.0,Lead,IT,2,2.9,4.0,8.9,Car,23.0,1.0
119,40.0,Senior,IT,1,1.4,1.0,5.0,Car,23.0,5.0
1604,57.0,Lead,Marketing,1,2.9,1.0,8.7,Bike,5.0,4.0
2749,27.0,Junior,HR,5,1.4,4.0,8.9,Car,17.0,4.0
1410,22.0,Intern/Fresher,Legal,5,2.3,1.0,8.0,Car,6.0,2.0
2724,42.0,Lead,IT,3,3.7,4.0,7.6,Car,22.0,3.0
2641,37.0,Senior,Finance,5,1.0,1.0,7.0,Bike,6.0,4.0
2377,35.0,Senior,Operations,4,3.2,1.0,6.6,Public Transport,21.0,5.0
545,55.0,Lead,Marketing,1,1.0,5.0,7.0,Car,25.0,3.0
840,59.0,Lead,Marketing,4,1.3,2.0,7.5,Car,17.0,3.0
2571,47.0,Lead,HR,2,2.8,1.0,6.9,Car,9.0,4.0
1070,37.0,Mid,Legal,1,1.9,1.0,5.6,Public Transport,28.0,1.0
2717,35.0,Senior,Sales,2,1.1,1.0,8.3,Public Transport,9.0,4.0
2289,22.0,Intern/Fresher,IT,4,3.7,2.0,8.3,Car,21.0,4.0
1596,51.0,Senior,Finance,5,1.0,1.0,5.8,Bike,4.0,4.0
745,49.0,Lead,Customer Service,2,0.6,4.0,6.9,Bike,8.0,1.0
2952,50.0,Lead,Customer Service,3,2.4,1.0,6.5,Bike,4.0,5.0
1612,25.0,Junior,Finance,1,1.9,1.0,6.9,Car,25.0,4.0
2907,31.0,Mid,Marketing,3,3.4,3.0,8.8,Bike,6.0,4.0
2784,38.0,Senior,Finance,2,3.4,2.0,6.8,Walk,2.0,5.0
749,50.0,,,1,,1.0,,,,3.0
340,23.0,Junior,Finance,4,1.4,3.0,5.0,Walk,2.0,4.0
2876,52.0,Lead,Marketing,2,1.7,3.0,6.3,Bike,10.0,3.0
1053,33.0,Mid,Sales,1,2.0,2.0,8.3,Car,6.0,3.0
2031,46.0,Mid,Legal,2,1.7,3.0,7.1,Public Transport,22.0,4.0
1992,51.0,Senior,IT,1,2.6,1.0,6.2,Public Transport,15.0,1.0
1911,41.0,Senior,Finance,4,4.0,2.0,7.0,Walk,1.0,4.0
752,45.0,Lead,IT,1,3.0,1.0,6.2,Car,20.0,3.0
2085,24.0,Junior,Customer Service,5,2.1,3.0,7.9,Walk,2.0,4.0
60,57.0,Senior,IT,5,1.6,1.0,5.9,Car,28.0,5.0
2515,38.0,Senior,IT,2,1.2,2.0,8.4,Car,10.0,4.0
1951,54.0,Lead,Sales,5,2.2,1.0,6.9,Car,18.0,4.0
497,22.0,,,5,,2.0,,,,4.0
845,52.0,Lead,Sales,3,3.1,3.0,7.9,Car,29.0,3.0
2124,53.0,Senior,Legal,4,1.7,1.0,7.4,Public Transport,29.0,4.0
707,54.0,Senior,Marketing,3,1.2,1.0,5.9,Car,19.0,3.0
463,60.0,Lead,Finance,4,5.0,3.0,8.2,Car,19.0,4.0
1175,33.0,Senior,IT,2,2.2,1.0,5.8,Walk,2.0,1.0
398,24.0,Junior,Finance,5,0.0,1.0,8.9,Walk,2.0,5.0
2670,22.0,Intern/Fresher,IT,4,2.4,1.0,7.5,Bike,3.0,4.0
1290,28.0,Junior,IT,1,1.8,2.0,6.5,Car,17.0,1.0
236,37.0,Senior,Finance,5,2.0,5.0,7.6,Motorbike,19.0,4.0
676,36.0,Senior,Customer Service,4,2.8,3.0,7.3,Motorbike,8.0,4.0
1134,37.0,,IT,2,3.6,1.0,5.6,,2.0,1.0
912,46.0,Senior,Customer Service,1,2.8,3.0,8.4,Bike,5.0,3.0
575,48.0,Mid,IT,3,1.2,1.0,5.6,Car,6.0,4.0
321,60.0,Senior,Operations,4,4.3,1.0,7.4,Public Transport,23.0,5.0
690,41.0,Senior,Finance,2,3.2,1.0,6.7,Car,9.0,3.0
786,28.0,Junior,Operations,2,0.8,4.0,6.6,Public Transport,8.0,3.0
726,50.0,Lead,Finance,4,2.6,1.0,5.7,Car,15.0,3.0
1409,29.0,Junior,Finance,3,1.6,1.0,8.6,Public Transport,29.0,2.0
2110,47.0,Lead,Finance,5,1.8,1.0,6.8,Bike,2.0,4.0
2280,24.0,Junior,Finance,3,2.8,1.0,7.1,Motorbike,13.0,4.0
888,53.0,Lead,Customer Service,1,2.8,3.0,8.2,Car,11.0,1.0
2270,54.0,Senior,Finance,2,2.3,4.0,6.4,Bike,1.0,3.0
1711,27.0,Junior,Legal,3,2.1,5.0,6.2,Car,16.0,4.0
1827,24.0,Mid,Operations,1,2.2,1.0,5.9,Car,8.0,4.0
1349,35.0,Mid,Sales,2,3.9,2.0,8.0,Car,28.0,2.0
1935,35.0,,IT,5,1.6,1.0,5.7,,13.0,1.0
2111,25.0,Junior,Finance,4,3.0,3.0,6.4,Public Transport,8.0,1.0
98,23.0,Intern/Fresher,IT,4,1.2,1.0,6.5,Public Transport,5.0,5.0
2496,48.0,Senior,Legal,2,0.4,1.0,8.6,Bike,9.0,4.0
1070,37.0,Mid,Legal,1,1.9,1.0,5.6,Public Transport,28.0,1.0
1091,37.0,Senior,HR,5,4.1,1.0,6.9,Public Transport,5.0,5.0
867,36.0,Senior,HR,3,1.5,1.0,8.7,Public Transport,18.0,3.0
2517,22.0,Junior,Operations,3,4.8,1.0,8.2,Walk,2.0,4.0
944,39.0,Senior,Operations,3,0.9,1.0,7.6,Motorbike,21.0,3.0
1990,39.0,Senior,Operations,2,1.4,1.0,7.5,Car,12.0,4.0
